filename,transcript,speaker_id,age,gender,region,recording_device
pao_audio_0001.wav,ခွဲးဟောဝ်ဒျာႏ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0002.wav,ကွပ်ပွိုးတမုဲင်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0003.wav,မင်္ဂလာႏဒျာႏဩ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0004.wav,အွူ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0005.wav,နောဝ်ꩻသွူ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0006.wav,ထွူလဲဉ်း,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0007.wav,မဉ်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0008.wav,ဒင်ႏမုဲင်တောင်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0009.wav,ပအိုဝ်ႏ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0010.wav,အငေါဝ်း,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0011.wav,နီသွဉ်းသီး,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0012.wav,နာꩻအီႏမာꩻမုဲင်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0013.wav,နာꩻမဉ်ꩻတမုဲင်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0014.wav,အောဝ်ႏမာꩻမုဲင်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0015.wav,အတာႏ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0016.wav,မင်္ဂလာႏဒျာႏ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0017.wav,ကေႏဇူꩻတင်ႏငါႏဩ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0018.wav,အောဝ်ႏလꩻဒျာႏ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0019.wav,ပါꩻမုဲင်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0020.wav,တမုဲင်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0021.wav,ဟန်ႏနီꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0022.wav,ဗꩻတွိုႏ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0023.wav,စွို့ꩻစွို့ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0024.wav,အုံဟုဲင်း,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0025.wav,ဆꩻလ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0026.wav,ဆꩻကီ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0027.wav,ဆꩻချာ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0028.wav,ဆꩻငါ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0029.wav,စေႏဖဲ့ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0030.wav,ထွေဖဲ့ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0031.wav,စွဲးကမ်း,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0032.wav,တသီႏ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0033.wav,အုံဟောဝ်တောဝ်း,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0034.wav,တဖူꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0035.wav,ဆေꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0036.wav,ဟန်ႏသꩻနီꩻယိုခွေသွဉ်းကမဲဉ်ဒေါ့ꩻနယ်ဒါႏအကျောင်ꩻခရာႏနောဝ်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0037.wav,ဝွေꩻယိုနောဝ်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0038.wav,တွိုႏတနီꩻတွော့ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0039.wav,အွိုးစစခါခမ်းတခမ်းနောဝ်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0040.wav,ယိုနောဝ်ꩻ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0041.wav,အွဉ်ႏနယ်,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0042.wav,တအောဝ်ႏတောဝ်း,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0043.wav,ဒေါ့ꩻပအိုဝ်ႏငေါဝ်း,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0044.wav,အကျောင်ꩻခရာႏ,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0045.wav,ဒေါ့ꩻဒါႏလဲဉ်း,S01,21,male,Kyaukkachar,Smartphone
pao_audio_0046.wav,မွေးနေဟောင်း,S01,21,male,Kyaukkachar,Smartphone
